symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,conversion,x/y mid,x/y ask,x/y bid
DOCU,2550.0,2740.0,2472.0,2579.0,1771.0,BUE,11700.0,2573.5,2579.0,239.0,48,DOCU,22.0,U,base,ARS,DOCUD,2.84,2.85,2.84,2.85,0.0,BUE,93.0,2.37,0.0,0.0,48,DOCU,22.0,D,dolar,USD,DOCU 48h - DOCUD 48h,897.8873239436621,1088.1856540084389,inf
DOW,8703.0,8972.5,8409.5,8820.5,641.0,BUE,3300.0,8732.0,8820.5,3300.0,48,DOW,6.0,W,base,ARS,DOWD,9.0,9.0,8.9,8.9,0.0,BUE,10.0,7.1,9.8,12.0,48,DOW,6.0,D,dolar,USD,DOW 48h - DOWD 48h,967.0,1242.323943661972,891.0204081632652
EA,9126.0,9556.5,9050.0,9302.0,225.0,BUE,160.0,9302.5,9407.0,160.0,48,EA,14.0,A,base,ARS,EAD,9.34,9.34,9.34,9.34,0.0,BUE,2.0,8.5,12.0,123.0,48,EA,14.0,D,dolar,USD,EA 48h - EAD 48h,977.0877944325482,1106.7058823529412,775.2083333333334
EBAY,20731.0,21434.0,20358.0,20761.0,65.0,BUE,1400.0,20801.5,20840.0,5.0,48,EBAY,2.0,Y,base,ARS,EBAYD,22.0,22.0,21.0,21.95,0.0,BUE,15.0,19.05,22.45,29.0,48,EBAY,2.0,D,dolar,USD,EBAY 48h - EBAYD 48h,942.3181818181819,1093.9632545931759,926.5701559020044
EEM,7750.0,8298.0,7522.5,7800.0,22409.0,BUE,2.0,7565.0,7950.0,19.0,48,EEM,5.0,M,base,ARS,EEMD,7.5,8.4,7.5,8.4,7.0,BUE,5.0,7.6,8.0,7.0,48,EEM,5.0,D,dolar,USD,EEM 48h - EEMD 48h,1033.3333333333333,1046.0526315789475,945.625
ERJ,17633.0,17633.0,16616.0,17600.0,64.0,BUE,10.0,17100.0,17630.0,2.0,48,ERJ,1.0,J,base,ARS,ERJD,19.6,19.6,19.5,19.5,0.0,BUE,20.0,16.6,19.4,30.0,48,ERJ,1.0,D,dolar,USD,ERJ 48h - ERJD 48h,899.6428571428571,1062.0481927710844,881.4432989690722
ETSY,4900.0,5000.0,4758.0,4893.0,126.0,BUE,300.0,4822.0,4895.0,300.0,48,ETSY,16.0,Y,base,ARS,ETSYD,5.5,5.6,5.5,5.58,0.0,BUE,2.0,4.9,5.4,20.0,48,ETSY,16.0,D,dolar,USD,ETSY 48h - ETSYD 48h,890.9090909090909,998.9795918367346,892.9629629629629
EWZ,16800.0,17990.0,16344.0,16904.0,15631.0,BUE,100.0,16768.0,16903.5,100.0,48,EWZ,2.0,Z,base,ARS,EWZD,18.7,18.7,17.5,17.9,254.0,BUE,2.0,17.5,17.9,60.0,48,EWZ,2.0,D,dolar,USD,EWZ 48h - EWZD 48h,898.3957219251337,965.9142857142857,936.7597765363129
F,11560.0,12300.0,11450.0,11855.0,1257.0,BUE,130.0,11736.0,11854.5,130.0,48,F,1.0,F,base,ARS,FD,12.3,12.3,12.3,12.3,25.0,BUE,75.0,11.6,12.45,9.0,48,F,1.0,D,dolar,USD,F 48h - FD 48h,939.8373983739837,1021.9396551724138,942.6506024096386
FDX,23900.0,25100.0,23315.0,24424.5,289.0,BUE,12.0,24100.0,24424.0,60.0,48,FDX,10.0,X,base,ARS,FDXD,25.0,25.0,25.0,25.0,0.0,BUE,1.0,23.5,30.0,42.0,48,FDX,10.0,D,dolar,USD,FDX 48h - FDXD 48h,956.0,1039.3191489361702,803.3333333333334
GE,15800.0,15800.0,15050.0,15366.5,1370.0,BUE,12.0,15250.0,15364.0,100.0,48,GE,8.0,E,base,ARS,GED,16.0,16.0,15.5,15.5,23.0,BUE,61.0,15.0,17.5,5.0,48,GE,8.0,D,dolar,USD,GE 48h - GED 48h,987.5,1024.2666666666667,871.4285714285714
GLOB,12895.0,13100.0,12425.0,12846.0,3138.0,BUE,150.0,12740.5,12845.5,150.0,48,GLOB,18.0,B,B,ARS,GLOBD,13.2,13.8,12.7,12.7,68.0,BUE,7.0,12.55,13.45,40.0,48,GLOB,18.0,D,dolar,USD,GLOB 48h - GLOBD 48h,976.8939393939395,1023.5458167330677,947.2490706319703
GM,5697.0,6000.0,5568.5,5745.0,531.0,BUE,4700.0,5735.0,5745.0,26.0,48,GM,6.0,M,base,ARS,GMD,5.85,5.85,5.85,5.85,0.0,BUE,5.0,5.0,6.0,24.0,48,GM,6.0,D,dolar,USD,GM 48h - GMD 48h,973.8461538461539,1149.0,955.8333333333334
GOOGL,2300.0,2369.0,2238.5,2310.0,86609.0,BUE,98.0,2303.0,2310.0,108.0,48,GOOGL,58.0,L,base,ARS,GOGLD,2.42,2.5,2.36,2.42,11004.0,BUE,41.0,2.36,2.42,188.0,48,GOOGL,58.0,D,dolar,USD,GOOGL 48h - GOGLD 48h,950.4132231404959,978.8135593220339,951.6528925619835
GPRK,8259.5,8300.0,8259.5,8280.0,66.0,BUE,8.0,8260.0,8406.5,130.0,48,GPRK,1.0,K,base,ARS,GPRKD,10.5,10.5,10.5,10.5,0.0,BUE,20.0,8.4,10.25,40.0,48,GPRK,1.0,D,dolar,USD,GPRK 48h - GPRKD 48h,786.6190476190476,1000.7738095238095,805.8536585365854
