	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	DIA	16.960,000	2,15	48hs.	57	16.950,000	16.960,000	20	-	16.603,000	16.650,000	17.200,000	159.820.647	725	15:46:05	
	DIAB	-	-	48hs.	-	-	-	-	-	13.586,000	-	-	-	-		
	DIAC	-	-	48hs.	-	-	-	-	-	16,637	-	-	-	-		
	DIAD	17,000	-	48hs.	166	17,000	17,300	33	-	17,000	17,000	17,650	6.967	18	15:32:38	
	DIADB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	DISN	7.460,000	1,31	48hs.	150	7.480,000	7.490,000	66	-	7.363,000	7.300,000	7.664,000	65.900.601	787	15:45:28	
	DISNB	-	-	48hs.	-	-	-	-	-	6.092,000	-	-	-	-		
	DISNC	-	-	48hs.	-	-	-	-	-	15,033	-	-	-	-		
	DISND	7,500	-2,08	48hs.	10	7,520	7,730	18	-	7,660	7,460	7,850	1.508	36	15:21:10	
	DJN3B	-	-	48hs.	-	-	-	-	-	1.135,000	-	-	-	-		
	DJN3C	-	-	48hs.	-	-	-	-	-	1,330	-	-	-	-		
	DJN3D	-	-	48hs.	-	-	-	-	-	1,315	-	-	-	-		
	DJNJ2	-	-	48hs.	-	-	-	-	-	815,000	-	-	-	-		
	DJNJ3	1.141,000	4,20	48hs.	-	-	-	-	-	1.095,000	1.141,000	1.141,000	11.410	2	14:12:10	
	DOCU	1.899,000	2,09	48hs.	22.332	1.899,000	1.960,000	129	-	1.860,000	1.840,000	1.900,000	2.675.725	18	15:44:39	
	DOCUC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	DOCUD	-	-	48hs.	50	1,700	2,400	299	-	2,400	-	-	-	-		
	DOW	8.535,000	5,43	48hs.	104	8.535,000	8.536,000	4	-	8.095,000	8.000,000	8.600,000	3.767.580	52	15:28:58	
	DOWB	-	-	48hs.	-	-	-	-	-	2.093,000	-	-	-	-		
	DOWC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	DOWD	-	-	48hs.	10	7,100	9,000	8	-	8,500	-	-	-	-		
	DTEA	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	DTEAC	-	-	48hs.	-	-	-	-	-	1,696	-	-	-	-		
	DTEAD	-	-	48hs.	-	-	-	-	-	1,056	-	-	-	-		
	E	-	-	48hs.	-	-	-	-	-	7.380,000	-	-	-	-		
	EA	8.999,500	2,64	48hs.	15	8.600,000	8.999,000	1	-	8.768,000	8.472,500	9.500,000	2.873.920	94	15:44:40	
	EAC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EAD	-	-	48hs.	10	7,910	10,800	4	-	9,800	-	-	-	-		
	EBAY	21.098,000	3,25	48hs.	3	20.700,000	21.000,000	3	-	20.433,500	20.200,000	21.500,000	2.192.026	35	14:54:06	
	EBAYC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EBAYD	22,000	8,91	48hs.	11	20,500	22,000	16	-	20,200	20,500	22,000	166	5	12:37:30	
	EBR	-	-	48hs.	1	27.715,000	-	-	-	30.000,000	-	-	-	-		
	EBRC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EBRD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EC	-	-	48hs.	-	-	-	-	-	7,693	-	-	-	-		
	EEM	7.757,000	8,45	48hs.	16	7.750,000	7.757,000	30	-	7.152,500	7.162,000	7.979,000	25.707.771	183	15:46:03	
