simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
PBI,"{'cantidadCompra': 400.0, 'precioCompra': 4112.5, 'precioVenta': 4170.5, 'cantidadVenta': 7600.0}",4133.0,2.12,4135.0,4310.5,4119.0,4133.0,86.0,15.0,2023-12-29T13:07:27.61,,,,1,1,Pitney Bowes,T2,1,1
PBR,"{'cantidadCompra': 72.0, 'precioCompra': 14966.0, 'precioVenta': 14990.0, 'cantidadVenta': 242.0}",15171.0,0.26,15100.0,15730.0,14949.5,15171.0,6550.0,444.0,2023-12-29T13:45:49.837,,,,1,1,Petroleo Brasileiro S.A.,T2,1,1
PBRD,"{'cantidadCompra': 63.0, 'precioCompra': 15.7, 'precioVenta': 15.8, 'cantidadVenta': 1.0}",15.5,-0.64,16.0,16.0,15.15,15.5,95.0,17.0,2023-12-29T13:27:51.113,,,,1,2,Petroleo Brasileiro S.A.,T2,1,1
PCAR,"{'cantidadCompra': 60.0, 'precioCompra': 30701.5, 'precioVenta': 31051.5, 'cantidadVenta': 1400.0}",31058.5,1.12,31058.5,31058.5,31058.5,31058.5,27.0,1.0,2023-12-29T12:20:57.63,,,,1,1,PACCAR,T2,1,1
PEP,"{'cantidadCompra': 1.0, 'precioCompra': 26800.0, 'precioVenta': 27105.0, 'cantidadVenta': 50.0}",27105.5,2.35,27221.0,27870.0,26400.0,27105.5,900.0,261.0,2023-12-29T13:46:15.643,,,,1,1,PepsiCo,T2,1,1
PEPC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:14.857,,,,1,2,Pepsico,T2,1,1
PEPD,"{'cantidadCompra': 30.0, 'precioCompra': 27.1, 'precioVenta': 28.4, 'cantidadVenta': 12.0}",28.4,0.35,28.3,28.4,28.3,28.4,12.0,10.0,2023-12-29T13:43:15.81,,,,1,2,Pepsico,T2,1,1
PFE,"{'cantidadCompra': 22.0, 'precioCompra': 13667.0, 'precioVenta': 13678.0, 'cantidadVenta': 1.0}",13687.5,1.02,13450.0,14500.0,13350.0,13687.5,7623.0,454.0,2023-12-29T13:45:56.837,,,,1,1,Pfizer,T2,1,1
PFED,"{'cantidadCompra': 13.0, 'precioCompra': 13.75, 'precioVenta': 14.5, 'cantidadVenta': 22.0}",14.3,-0.34,14.35,14.5,13.7,14.3,43.0,13.0,2023-12-29T13:23:13.32,,,,1,2,Pfizer,T2,1,1
PG,"{'cantidadCompra': 7.0, 'precioCompra': 27700.0, 'precioVenta': 27961.5, 'cantidadVenta': 1200.0}",27962.0,1.85,27500.0,28850.0,27295.5,27962.0,3481.0,211.0,2023-12-29T13:45:49.317,,,,1,1,Procter & Gamble,T2,1,1
PGD,"{'cantidadCompra': 5.0, 'precioCompra': 28.2, 'precioVenta': 30.95, 'cantidadVenta': 6.0}",29.0,2.11,29.0,29.0,29.0,29.0,21.0,10.0,2023-12-29T13:25:42.433,,,,1,2,Procter & Gamble,T2,1,1
PHG,"{'cantidadCompra': 400.0, 'precioCompra': 4383.5, 'precioVenta': 4446.0, 'cantidadVenta': 9700.0}",4381.0,-0.43,4400.0,4450.0,4339.0,4381.0,183.0,12.0,2023-12-29T13:41:29.607,,,,1,1,Phillips Electronics,T2,1,1
PKS,"{'cantidadCompra': 26.0, 'precioCompra': 27500.0, 'precioVenta': 29800.0, 'cantidadVenta': 1.0}",29650.0,-1.88,30250.0,30907.0,29413.5,29650.0,73.0,22.0,2023-12-29T13:40:30.823,,,,1,1,Posco Holdings Inc.,T2,1,1
PSX,"{'cantidadCompra': 80.0, 'precioCompra': 21037.5, 'precioVenta': 21272.5, 'cantidadVenta': 80.0}",20841.0,0.18,21237.0,21237.0,20841.0,20841.0,88.0,3.0,2023-12-29T12:20:57.637,,,,1,1,Phillips 66,T2,1,1
PSXC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:34.667,,,,1,2,Phillips 66,T2,1,1
PSXD,"{'cantidadCompra': 1.0, 'precioCompra': 20.0, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2023-12-29T03:00:09.46,,,,1,2,Phillips 66,T2,1,1
PYPL,"{'cantidadCompra': 13.0, 'precioCompra': 7300.0, 'precioVenta': 7329.5, 'cantidadVenta': 180.0}",7300.0,-1.88,7390.5,7736.5,7223.0,7300.0,5663.0,282.0,2023-12-29T13:45:39.74,,,,1,1,Paypal Holdings Inc.,T2,1,1
PYPLD,"{'cantidadCompra': 80.0, 'precioCompra': 7.5, 'precioVenta': 7.75, 'cantidadVenta': 65.0}",7.5,-4.33,7.84,7.84,7.5,7.5,89.0,11.0,2023-12-29T13:15:46.123,,,,1,2,Paypal Holdings Inc.,T2,1,1
QCOM,"{'cantidadCompra': 120.0, 'precioCompra': 12450.5, 'precioVenta': 12515.0, 'cantidadVenta': 2800.0}",12506.5,-0.16,12525.0,13100.0,12258.5,12506.5,1328.0,95.0,2023-12-29T13:43:02.99,,,,1,1,Qualcomm,T2,1,1
QCOMC,,14.25,0.0,14.25,14.25,14.25,14.25,0.0,0.0,2023-12-27T03:00:05.6,,,,1,2,Qualcomm,T2,1,1
QCOMD,"{'cantidadCompra': 31.0, 'precioCompra': 12.3, 'precioVenta': 13.1, 'cantidadVenta': 66.0}",13.1,-0.38,13.0,13.1,12.5,13.1,43.0,5.0,2023-12-29T12:20:57.643,,,,1,2,Qualcomm,T2,1,1
