	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	HMY	5.507,000	3,16	C.I.	-	-	-	-	5.507,000	5.338,000	5.292,000	5.640,000	670.027	35	16:28:30	
	HMYD	-	-	C.I.	-	-	7,100	3	5,270	5,270	-	-	-	-		
	HOG	-	-	C.I.	-	-	-	-	9.555,000	9.555,000	-	-	-	-		
	HON	-	-	C.I.	3	20.200,000	22.879,500	2	21.790,000	21.790,000	-	-	-	-		
	HPQ	24.000,000	-4,76	C.I.	1	24.000,000	-	-	24.000,000	25.200,000	23.940,500	24.000,000	191.644	4	14:38:05	
	HSBC	16.378,500	-4,99	C.I.	-	-	-	-	16.378,500	17.240,000	16.378,500	16.378,500	16.379	1	11:30:23	
	HSY	7.810,500	-3,86	C.I.	5	7.540,000	8.574,000	10	7.810,000	8.124,500	7.810,000	8.630,000	1.581.364	28	16:14:45	
	HSYD	10,150	-4,69	C.I.	-	-	-	-	10,150	10,650	10,150	10,150	376	1	15:57:50	
	HWMC	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	HWMD	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	IBM	31.000,000	4,58	C.I.	-	-	-	-	30.450,000	29.640,000	28.478,000	31.000,000	2.109.304	25	15:03:50	
	IBMD	-	-	C.I.	-	-	45,000	3	31,100	31,100	-	-	-	-		
	IBN	-	-	C.I.	-	-	-	-	20.000,000	20.000,000	-	-	-	-		
	IFF	-	-	C.I.	-	-	-	-	4.450,000	4.450,000	-	-	-	-		
	INFY	-	-	C.I.	-	-	-	-	14.477,000	14.477,000	-	-	-	-		
	INFYC	-	-	C.I.	-	-	-	-	-	31,550	-	-	-	-		
	ING	-	-	C.I.	-	-	-	-	3.674,000	3.674,000	-	-	-	-		
	INTC	7.430,000	-0,97	C.I.	2	7.430,000	7.599,000	10	7.430,500	7.503,500	7.430,000	7.887,500	2.499.916	81	16:08:01	
	INTCC	-	-	C.I.	-	-	-	-	10,060	10,060	-	-	-	-		
	INTCD	8,550	-4,99	C.I.	-	-	12,300	5	8,550	9,000	8,550	8,950	179	3	14:52:20	
	IP	-	-	C.I.	-	-	-	-	8.000,000	8.000,000	-	-	-	-		
	IPD	-	-	C.I.	-	-	-	-	-	39,300	-	-	-	-		
	ITUB	5.850,000	2,45	C.I.	-	-	-	-	5.839,000	5.710,000	5.581,000	5.850,000	799.006	7	12:57:09	
	ITUBC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	ITUBD	-	-	C.I.	-	-	-	-	6,496	6,496	-	-	-	-		
	IWM	16.750,000	'0,86	C.I.	-	-	-	-	16.743,000	16.606,000	16.073,000	17.335,500	2.223.482	50	15:57:13	
	IWMC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	IWMD	-	-	C.I.	-	-	-	-	15,850	15,850	-	-	-	-		
	JCI	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	JD	12.000,000	5,99	C.I.	-	-	-	-	12.000,000	11.321,000	12.000,000	12.188,000	192.188	3	14:44:33	
	JDD	-	-	C.I.	-	-	-	-	14,200	14,200	-	-	-	-		
	JMIA	3.450,000	8,49	C.I.	-	-	-	-	3.449,000	3.180,000	3.238,000	3.450,000	395.087	7	15:45:50	
	JMIAD	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	JNJ	9.624,000	6,19	C.I.	-	-	14.000,000	30	9.599,500	9.062,500	9.150,000	9.830,500	4.961.249	95	16:24:23	
	JNJ.B	-	-	C.I.	-	-	-	-	8.425,000	8.425,000	-	-	-	-		
	JNJC	-	-	C.I.	-	-	-	-	-	10,563	-	-	-	-		
	JNJD	10,000	-	C.I.	5	9,200	15,500	3	10,050	10,000	10,000	10,050	40	2	13:44:45	
	JPM	28.726,000	6,39	C.I.	-	-	-	-	28.726,000	27.000,000	26.327,000	28.726,000	2.286.098	29	16:29:57	
	JPMB	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	JPMC	-	-	C.I.	-	-	-	-	29,130	29,130	-	-	-	-		
	JPMD	-	-	C.I.	-	-	35,000	3	32,000	32,000	-	-	-	-		
	KB	-	-	C.I.	-	-	-	-	6.261,188	6.261,188	-	-	-	-		
	KGC	-	-	C.I.	-	-	-	-	4.774,708	4.774,708	-	-	-	-		
	KMB	18.319,000	1,76	C.I.	-	-	-	-	18.319,000	18.001,000	18.319,000	18.319,000	91.595	1	16:04:14	
	KO	10.800,000	1,68	C.I.	58	10.800,000	10.851,000	2	-	10.621,000	10.400,000	10.990,000	565.204.673	1.353	16:29:59	
